Kategorie,Thema,Tipp,Verwendung
Konzentration,Blitzblock,"Wenn Du Dich öfter dabei ertappst, dass Du Dich in Tragträumereien verlierst, probier doch mal den Gedankenblitz-Block aus. Schnapp Dir dafür einen Block. Damit kannst Du all Deine Gedanken ganz einfach aus deinem Kopf “rausschreiben” um Dich ganz Deiner aktuellen Aufgabe zu widmen!",
Konzentration,Ablenkungen,"Schalte doch Dein Handy oder andere Benachrichtigungsdienste einfach mal aus während der Lernzeit. Keine Sorge, Du wirst nichts verpassen  Falls Dir das schwerfällt, kannst Du es mit Produktivitätsapps wie Freedom oder Forest probieren!",
Konzentration,Multitasking,"Du checkst gerne während der Vorlesung Deine Nachrichten und Mails, weil Du ja mit einem Ohr zuhören kannst? Surprise: Multitasking funktioniert nicht  Dein Gehirn kann sich nur auf eine, maximal zwei Aufgaben gleichzeitig konzentrieren. Was vielen wie Multitasking vorkommt ist in Wahrheit einfach nur ein schneller Wechsel zwischen verschiedenen Tätigkeiten. Das kostet Dich letztendlich mehr Zeit und Energie, außerdem ist die Fehlerwahrscheinlichkeit höher. Fazit: lass es und konzentrier Dich lieber ganz auf eine Sache!",
Konzentration,Ausgleich,"Ausgleich ist wichtig für Deine Leistungs- und Konzentrationsfähigkeit ! Also denk daran Dich regelmäßig zu belohnen, jeden Tag etwas zu tun was Dir Freude bereitet und Dich genug zu bewegen",
Konzentration,Pomodoro,"Schonmal etwas von der Pomodoro Technik gehört? Nein, das hat nichts mit Tomatensauce zu tun  Mit der Technik lernst oder arbeitest Du 25 Minuten und machst anschließend 5 Minuten Pause. Nach vier Durchläufen machst Du dann eine längere Pause von ca. 15-20 Minuten. So bleibst du länger frisch im Kopf !",
Produktivität,Ziele,"""Ein Ziel ist ein Traum mit einer Frist"" sagte einst der Schriftsteller Napoleon Hill und wurde mit dieser Einstellung ziemlich erfolgreich. Deshalb auch mein Tipp an Dich: nimmt Dir in regelmäßigen Abständen Zeit und formuliere (am Besten schriftlich) Deine Ziele. Ein Ziel könnte zum Beispiel sein im kommenden Semester bis zum Tag X (terminiert) Kurse im Gesamtumfang von 20 ECTS (messbar) zu absolvieren. Viel Spaß beim Träumen ",
Produktivität,Prioritisierung,"Hast Du auch manchmal so viel zu tun, dass Du gar nicht weißt wo Du anfangen sollst? Keine Sorge, so geht es vielen Menschen und es gibt eine Lösung: Priorisierung! 

1.Notiere zuerst alle Aufgaben. 
2. Streiche alles Unwichtige (z.B. weil nicht relevant für Deine Ziele) und Aufgaben Die Du an andere abgeben könntest.  
3.Überlege Dir welche Aufgabe am dringendsten ist, weil sie zum Beispiel an einen fixen (Prüfungs-)Termin gebunden ist

Aber Achtung: nimm Dir nicht zu viel für einen Tag vor, sonst verlierst Du schnell die Lust!",
Produktivität,Lernplan,"Bei größeren Projekten wie einer Hausarbeit oder zur Vorbereitung einer Prüfung, solltest Du Dir immer einen Zeitplan erstellen. ⏱ Dazu definierst Du die nötigen Teilschritte bzw. Phasen und gibst ihnen einen konkreten Termin bis zu dem der Teilschritt erledigt sein sollte. Klingt einfach oder? ",
Produktivität,Pareto,"Mehr Erfolg mit weniger Aufwand?  Wie das geht beschreibt das sogenannte Pareto-Prinzip, auch 80/20 Regel genannt. Demnach kannst du mit nur 20% Leistung schon 80% des Ergebnisses erreichen. Letztlich können wir daraus schlussfolgern, dass Perfektion (100%) uns sehr viel mehr Energie und Zeit kostet als eine Aufgabe einfach “nur” gut zu machen. Fazit: Konzentriere Dich auf das Wesentliche! 🤟",
Produktivität,lieber gleich erledigen,"Kurz und knapp: jede Tätigkeit die weniger als zwei Minuten dauert solltest Du sofort erledigen, anstatt Sie zuerst auf eine Liste oder anderswo zu notieren! Wenn Du nicht weißt wie lange etwas dauern wird, versuche es in drei Minuten zu schaffen. Falls es nicht klappt, kannst Du Dir immer noch eine Notiz machen und Dich später darum kümmern ",
